,Hour,Vejnavn,Total Vehicles
0,00,Ellebjergvej,405.8157119476268
1,01,Ellebjergvej,270.31783960720134
2,02,Ellebjergvej,216.6098199672668
3,03,Ellebjergvej,214.97479541734862
4,04,Ellebjergvej,288.75090016366613
5,05,Ellebjergvej,611.4281505728314
6,06,Ellebjergvej,1281.6049099836334
7,07,Ellebjergvej,1915.0873977086744
8,08,Ellebjergvej,1941.3345335515548
9,09,Ellebjergvej,1829.8690671031097
10,10,Ellebjergvej,1873.9528641571194
11,11,Ellebjergvej,2025.567921440262
12,12,Ellebjergvej,2174.0036006546643
13,13,Ellebjergvej,2246.9905073649757
14,14,Ellebjergvej,2462.7495908346973
15,15,Ellebjergvej,2624.466448445172
16,16,Ellebjergvej,2609.177086743044
17,17,Ellebjergvej,2281.8248772504094
18,18,Ellebjergvej,1790.939116202946
19,19,Ellebjergvej,1346.5018003273321
20,20,Ellebjergvej,1139.1865793780687
21,21,Ellebjergvej,1015.0353518821604
22,22,Ellebjergvej,900.0618657937807
23,23,Ellebjergvej,670.3319148936171
24,00,Englandsvej,149.16334661354583
25,01,Englandsvej,93.66026801883376
26,02,Englandsvej,65.28866352770736
27,03,Englandsvej,60.82433900760594
28,04,Englandsvej,87.22021006881565
29,05,Englandsvej,167.4914885910902
30,06,Englandsvej,412.366896052155
31,07,Englandsvej,774.4223107569721
32,08,Englandsvej,816.1550162984425
33,09,Englandsvej,757.8036943136544
34,10,Englandsvej,805.408185440058
35,11,Englandsvej,879.609561752988
36,12,Englandsvej,936.6609923940601
37,13,Englandsvej,967.120246287577
38,14,Englandsvej,1024.7566099239407
39,15,Englandsvej,1103.1336472292649
40,16,Englandsvej,1086.3643607388628
41,17,Englandsvej,967.2111553784861
42,18,Englandsvej,767.6972111553785
43,19,Englandsvej,585.5132198478811
44,20,Englandsvej,467.8938790293372
45,21,Englandsvej,401.78015211879756
46,22,Englandsvej,357.92394060123144
47,23,Englandsvej,251.3828323071351
48,00,Fredensbro,609.0452937013447
49,01,Fredensbro,403.85598018400566
50,02,Fredensbro,319.2073602264685
51,03,Fredensbro,292.0166312809625
52,04,Fredensbro,306.9893842887474
53,05,Fredensbro,411.9975230007077
54,06,Fredensbro,900.8075017692852
55,07,Fredensbro,2050.0488322717624
56,08,Fredensbro,2459.8920736022646
57,09,Fredensbro,2272.1220806794054
58,10,Fredensbro,2137.067940552017
59,11,Fredensbro,2228.4125973106866
60,12,Fredensbro,2386.0268931351734
61,13,Fredensbro,2417.144727530078
62,14,Fredensbro,2597.4076433121018
63,15,Fredensbro,2839.4370134465676
64,16,Fredensbro,2894.2303609341825
65,17,Fredensbro,2739.1882519462138
66,18,Fredensbro,2262.884288747346
67,19,Fredensbro,1663.8577494692145
68,20,Fredensbro,1295.4285208775655
69,21,Fredensbro,1182.1362349610756
70,22,Fredensbro,1129.6022646850672
71,23,Fredensbro,933.1210191082803
72,00,Frederikssundsvej,418.91822503961964
73,01,Frederikssundsvej,283.89540412044374
74,02,Frederikssundsvej,221.41711568938194
75,03,Frederikssundsvej,184.4526148969889
76,04,Frederikssundsvej,173.024088748019
77,05,Frederikssundsvej,200.82694136291602
78,06,Frederikssundsvej,362.6827258320127
79,07,Frederikssundsvej,727.4795562599049
80,08,Frederikssundsvej,956.3239302694136
81,09,Frederikssundsvej,880.1619651347069
82,10,Frederikssundsvej,956.5806656101427
83,11,Frederikssundsvej,1086.9372424722662
84,12,Frederikssundsvej,1192.016798732171
85,13,Frederikssundsvej,1251.1524564183835
86,14,Frederikssundsvej,1322.321711568938
87,15,Frederikssundsvej,1404.570206022187
88,16,Frederikssundsvej,1388.7549920760698
89,17,Frederikssundsvej,1293.4088748019017
90,18,Frederikssundsvej,1143.42440570523
91,19,Frederikssundsvej,962.8706814580032
92,20,Frederikssundsvej,838.3270998415214
93,21,Frederikssundsvej,761.0586370839936
94,22,Frederikssundsvej,719.197147385103
95,23,Frederikssundsvej,595.1984152139461
96,00,Gadelandet,68.28206744405925
97,01,Gadelandet,38.45256854711629
98,02,Gadelandet,29.31547431452884
99,03,Gadelandet,38.753230381342576
100,04,Gadelandet,69.87141506460763
101,05,Gadelandet,160.7756066813741
102,06,Gadelandet,329.4538291837378
103,07,Gadelandet,425.327450362433
104,08,Gadelandet,335.2105263157895
105,09,Gadelandet,302.5266309486291
106,10,Gadelandet,317.4358651118815
107,11,Gadelandet,350.86889379136466
108,12,Gadelandet,387.73274503624333
109,13,Gadelandet,452.4097069019855
110,14,Gadelandet,535.1200756381972
111,15,Gadelandet,548.610148124803
112,16,Gadelandet,458.8288685786322
113,17,Gadelandet,350.0797352663095
114,18,Gadelandet,279.3028679483139
115,19,Gadelandet,228.09013551843682
116,20,Gadelandet,205.06838953671604
117,21,Gadelandet,190.04097069019855
118,22,Gadelandet,156.83422628427357
119,23,Gadelandet,104.00189095493224
120,00,Hareskovvej,422.8254980079681
121,01,Hareskovvej,193.71792828685258
122,02,Hareskovvej,126.18565737051793
123,03,Hareskovvej,102.29083665338645
124,04,Hareskovvej,120.0406374501992
125,05,Hareskovvej,340.9442231075697
126,06,Hareskovvej,1593.4525896414343
127,07,Hareskovvej,3053.7745019920317
128,08,Hareskovvej,3152.3059760956176
129,09,Hareskovvej,2331.595219123506
130,10,Hareskovvej,2043.5569721115537
131,11,Hareskovvej,2175.1027888446215
132,12,Hareskovvej,2383.4374501992033
133,13,Hareskovvej,2496.385657370518
134,14,Hareskovvej,2984.380876494024
135,15,Hareskovvej,3688.635856573705
136,16,Hareskovvej,3737.011952191235
137,17,Hareskovvej,3206.7808764940237
138,18,Hareskovvej,2340.8589641434264
139,19,Hareskovvej,1551.6541832669323
140,20,Hareskovvej,1210.1665338645419
141,21,Hareskovvej,1155.5442231075697
142,22,Hareskovvej,1129.9123505976095
143,23,Hareskovvej,787.392828685259
144,00,Islands Brygge,49.995438996579246
145,01,Islands Brygge,32.513968072976056
146,02,Islands Brygge,22.92018244013683
147,03,Islands Brygge,17.550171037628278
148,04,Islands Brygge,15.543329532497149
149,05,Islands Brygge,21.71892816419612
150,06,Islands Brygge,55.866875712656785
151,07,Islands Brygge,191.6257126567845
152,08,Islands Brygge,369.1519384264538
153,09,Islands Brygge,306.0108323831243
154,10,Islands Brygge,231.60091220068415
155,11,Islands Brygge,233.18871151653363
156,12,Islands Brygge,254.13112884834663
157,13,Islands Brygge,255.51624857468644
158,14,Islands Brygge,266.5675598631699
