,Hour,Vejnavn,Net Vehicles
0,00,Ellebjergvej,-69.8530278232406
1,01,Ellebjergvej,-32.54042553191489
2,02,Ellebjergvej,-22.58494271685761
3,03,Ellebjergvej,-5.1430441898527
4,04,Ellebjergvej,28.223240589198035
5,05,Ellebjergvej,178.16726677577742
6,06,Ellebjergvej,360.7505728314239
7,07,Ellebjergvej,322.9342062193126
8,08,Ellebjergvej,339.2599018003273
9,09,Ellebjergvej,296.52111292962354
10,10,Ellebjergvej,173.7178396072013
11,11,Ellebjergvej,82.66252045826513
12,12,Ellebjergvej,0.12995090016366612
13,13,Ellebjergvej,-95.17381342062193
14,14,Ellebjergvej,-267.0147299509002
15,15,Ellebjergvej,-240.93126022913256
16,16,Ellebjergvej,-146.1924713584288
17,17,Ellebjergvej,-85.1885433715221
18,18,Ellebjergvej,-25.596399345335517
19,19,Ellebjergvej,-59.263829787234044
20,20,Ellebjergvej,-99.16170212765958
21,21,Ellebjergvej,-125.45040916530279
22,22,Ellebjergvej,-108.04091653027824
23,23,Ellebjergvej,-119.42585924713585
24,00,Englandsvej,7.749366171676929
25,01,Englandsvej,5.879029337196668
26,02,Englandsvej,3.9818906193408186
27,03,Englandsvej,0.3665338645418327
28,04,Englandsvej,-3.0101412531691416
29,05,Englandsvej,9.889894965592177
30,06,Englandsvej,93.66714958348425
31,07,Englandsvej,213.1416153567548
32,08,Englandsvej,235.58710612097067
33,09,Englandsvej,158.455632017385
34,10,Englandsvej,110.77725461789207
35,11,Englandsvej,90.59398768562116
36,12,Englandsvej,80.93190872872148
37,13,Englandsvej,63.56211517566099
38,14,Englandsvej,51.65121332850416
39,15,Englandsvej,25.58565737051793
40,16,Englandsvej,29.99203187250996
41,17,Englandsvej,50.757696486780155
42,18,Englandsvej,56.09344440420138
43,19,Englandsvej,62.097066280333216
44,20,Englandsvej,48.58203549438609
45,21,Englandsvej,34.07787033683448
46,22,Englandsvej,34.77725461789207
47,23,Englandsvej,13.839913074972836
48,00,Fredensbro,-41.6790516631281
49,01,Fredensbro,-37.05130927105449
50,02,Fredensbro,-39.17055909412597
51,03,Fredensbro,-31.023000707714083
52,04,Fredensbro,3.389596602972399
53,05,Fredensbro,54.232130219391365
54,06,Fredensbro,113.517338995046
55,07,Fredensbro,295.137296532201
56,08,Fredensbro,368.50601556970986
57,09,Fredensbro,423.5155697098372
58,10,Fredensbro,325.6758669497523
59,11,Fredensbro,291.3308563340411
60,12,Fredensbro,245.9370134465676
61,13,Fredensbro,182.7593772116065
62,14,Fredensbro,63.25831564048124
63,15,Fredensbro,-109.53998584571833
64,16,Fredensbro,-205.189313517339
65,17,Fredensbro,-210.93949044585986
66,18,Fredensbro,-3.842887473460722
67,19,Fredensbro,68.93595187544233
68,20,Fredensbro,31.99858457183298
69,21,Fredensbro,-13.223991507430998
70,22,Fredensbro,-59.647912243453646
71,23,Fredensbro,-62.66702052370842
72,00,Frederikssundsvej,-5.625039619651347
73,01,Frederikssundsvej,6.840570522979398
74,02,Frederikssundsvej,11.237083993660855
75,03,Frederikssundsvej,9.551822503961965
76,04,Frederikssundsvej,9.941996830427891
77,05,Frederikssundsvej,24.613946117274168
78,06,Frederikssundsvej,53.97337559429477
79,07,Frederikssundsvej,110.35752773375594
80,08,Frederikssundsvej,153.05356576862124
81,09,Frederikssundsvej,138.9229793977813
82,10,Frederikssundsvej,78.05388272583201
83,11,Frederikssundsvej,32.08843106180666
84,12,Frederikssundsvej,5.2358161648177495
85,13,Frederikssundsvej,-9.635816164817749
86,14,Frederikssundsvej,-27.40633914421553
87,15,Frederikssundsvej,-20.411727416798733
88,16,Frederikssundsvej,15.514421553090333
89,17,Frederikssundsvej,10.886529318541998
90,18,Frederikssundsvej,-19.24500792393027
91,19,Frederikssundsvej,-26.270364500792393
92,20,Frederikssundsvej,-32.33312202852615
93,21,Frederikssundsvej,-30.814896988906497
94,22,Frederikssundsvej,-22.959112519809825
95,23,Frederikssundsvej,-8.329952456418383
96,00,Gadelandet,-0.007248660573589662
97,01,Gadelandet,0.31200756381972894
98,02,Gadelandet,-0.8332808068074378
99,03,Gadelandet,-5.174283012921525
100,04,Gadelandet,-4.81437125748503
101,05,Gadelandet,19.796092026473367
102,06,Gadelandet,31.351402458241413
103,07,Gadelandet,34.064292467696184
104,08,Gadelandet,16.26757012291207
105,09,Gadelandet,-0.033722029624960605
106,10,Gadelandet,4.825086668767728
107,11,Gadelandet,1.2369996848408447
108,12,Gadelandet,-3.4390167034352346
109,13,Gadelandet,-21.09171131421368
110,14,Gadelandet,-28.741254333438388
111,15,Gadelandet,-8.797352663094863
112,16,Gadelandet,1.1547431452883705
113,17,Gadelandet,11.905137094232588
114,18,Gadelandet,10.771509612354238
115,19,Gadelandet,8.019539867633155
116,20,Gadelandet,3.567601638827608
117,21,Gadelandet,-0.43239836117239205
118,22,Gadelandet,2.4793570753230383
119,23,Gadelandet,0.9681689253072802
120,00,Hareskovvej,12.021513944223107
121,01,Hareskovvej,-14.525099601593626
122,02,Hareskovvej,-3.649402390438247
123,03,Hareskovvej,-3.007171314741036
124,04,Hareskovvej,-2.2764940239043825
125,05,Hareskovvej,4.8095617529880474
126,06,Hareskovvej,50.03187250996016
127,07,Hareskovvej,23.21752988047809
128,08,Hareskovvej,-48.2589641434263
129,09,Hareskovvej,13.335458167330676
130,10,Hareskovvej,-8.335458167330676
131,11,Hareskovvej,-17.3800796812749
132,12,Hareskovvej,-39.43426294820717
133,13,Hareskovvej,-39.289243027888446
134,14,Hareskovvej,-78.50358565737052
135,15,Hareskovvej,-105.21434262948208
136,16,Hareskovvej,-31.796812749003983
137,17,Hareskovvej,-31.396812749003985
138,18,Hareskovvej,-21.90199203187251
139,19,Hareskovvej,-4.0071713147410355
140,20,Hareskovvej,-12.802390438247013
141,21,Hareskovvej,-19.224701195219122
142,22,Hareskovvej,-25.843027888446215
143,23,Hareskovvej,-37.04780876494024
144,00,Islands Brygge,34.055872291904215
145,01,Islands Brygge,21.520524515393387
146,02,Islands Brygge,14.637970353477765
147,03,Islands Brygge,11.34236031927024
148,04,Islands Brygge,9.652793614595211
149,05,Islands Brygge,14.135689851767388
150,06,Islands Brygge,40.390820980615736
151,07,Islands Brygge,157.58979475484605
152,08,Islands Brygge,303.16847206385404
153,09,Islands Brygge,227.85290763968072
154,10,Islands Brygge,150.3568985176739
155,11,Islands Brygge,141.1242873432155
156,12,Islands Brygge,150.84378563283923
157,13,Islands Brygge,151.3292474344356
158,14,Islands Brygge,155.45980615735462
159,15,Islands Brygge,175.3472063854048
160,16,Islands Brygge,171.59350057012543
161,17,Islands Brygge,160.98688711516533
162,18,Islands Brygge,133.88027366020523
163,19,Islands Brygge,102.43956670467503
164,20,Islands Brygge,79.80444697833524
165,21,Islands Brygge,67.1724629418472
166,22,Islands Brygge,63.35119726339795
