,Hour,Vejnavn,Total Vehicles
0,00,Ellebjergvej,1239767.0
1,01,Ellebjergvej,825821.0
2,02,Ellebjergvej,661743.0
3,03,Ellebjergvej,656748.0
4,04,Ellebjergvej,882134.0
5,05,Ellebjergvej,1867913.0
6,06,Ellebjergvej,3915303.0
7,07,Ellebjergvej,5850592.0
8,08,Ellebjergvej,5930777.0
9,09,Ellebjergvej,5590250.0
10,10,Ellebjergvej,5724926.0
11,11,Ellebjergvej,6188110.0
12,12,Ellebjergvej,6641581.0
13,13,Ellebjergvej,6864556.0
14,14,Ellebjergvej,7523700.0
15,15,Ellebjergvej,8017745.0
16,16,Ellebjergvej,7971036.0
17,17,Ellebjergvej,6970975.0
18,18,Ellebjergvej,5471319.0
19,19,Ellebjergvej,4113563.0
20,20,Ellebjergvej,3480215.0
21,21,Ellebjergvej,3100933.0
22,22,Ellebjergvej,2749689.0
23,23,Ellebjergvej,2047864.0
24,00,Englandsvej,411840.0
25,01,Englandsvej,258596.0
26,02,Englandsvej,180262.0
27,03,Englandsvej,167936.0
28,04,Englandsvej,240815.0
29,05,Englandsvej,462444.0
30,06,Englandsvej,1138545.0
31,07,Englandsvej,2138180.0
32,08,Englandsvej,2253404.0
33,09,Englandsvej,2092296.0
34,10,Englandsvej,2223732.0
35,11,Englandsvej,2428602.0
36,12,Englandsvej,2586121.0
37,13,Englandsvej,2670219.0
38,14,Englandsvej,2829353.0
39,15,Englandsvej,3045752.0
40,16,Englandsvej,2999452.0
41,17,Englandsvej,2670470.0
42,18,Englandsvej,2119612.0
43,19,Englandsvej,1616602.0
44,20,Englandsvej,1291855.0
45,21,Englandsvej,1109315.0
46,22,Englandsvej,988228.0
47,23,Englandsvej,694068.0
48,00,Fredensbro,1721162.0
49,01,Fredensbro,1141297.0
50,02,Fredensbro,902080.0
51,03,Fredensbro,825239.0
52,04,Fredensbro,867552.0
53,05,Fredensbro,1164305.0
54,06,Fredensbro,2545682.0
55,07,Fredensbro,5793438.0
56,08,Fredensbro,6951655.0
57,09,Fredensbro,6421017.0
58,10,Fredensbro,6039354.0
59,11,Fredensbro,6297494.0
60,12,Fredensbro,6742912.0
61,13,Fredensbro,6830851.0
62,14,Fredensbro,7340274.0
63,15,Fredensbro,8024249.0
64,16,Fredensbro,8179095.0
65,17,Fredensbro,7740946.0
66,18,Fredensbro,6394911.0
67,19,Fredensbro,4702062.0
